Model,RMSE,MAE,R2
Artificial Neural Network (ANN),23946.000056040328,15964.629419479927,0.8750475990702562
Linear Regression,24032.075019606338,15071.736756180719,0.8741476906524147
LSTM Neural Network,31426.87615786196,22116.656506614963,0.784780768979829
